date,day_of_week,xgb_pred,xgb_prob,m15_trend,h4_trend,is_aligned,alignment_score,confidence_adjustment,final_pred,final_prob,result,change_pct,was_correct,current_close,next_close,reasoning
2026-02-02,Monday,UP,80.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,UP,80.0%,UP,0.41%,✅,1.31700,1.32234,XGBoost UP mas tendência neutra
2026-02-03,Tuesday,UP,90.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,UP,90.0%,DOWN,-0.26%,❌,1.32234,1.31885,XGBoost UP mas tendência neutra
2026-02-04,Wednesday,DOWN,80.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,DOWN,80.0%,DOWN,-0.28%,✅,1.31885,1.31514,XGBoost DOWN mas tendência neutra
2026-02-05,Thursday,DOWN,80.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,DOWN,80.0%,DOWN,-0.07%,✅,1.31514,1.31417,XGBoost DOWN mas tendência neutra
2026-02-06,Friday,UP,80.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,UP,80.0%,UP,0.08%,✅,1.31417,1.31520,XGBoost UP mas tendência neutra
2026-02-07,Saturday,DOWN,55.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,DOWN,55.0%,DOWN,-0.78%,✅,1.31520,1.30498,XGBoost DOWN mas tendência neutra
2026-02-08,Sunday,DOWN,90.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,DOWN,90.0%,DOWN,-0.17%,✅,1.30498,1.30282,XGBoost DOWN mas tendência neutra
2026-02-09,Monday,DOWN,80.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,DOWN,80.0%,UP,0.38%,❌,1.30282,1.30779,XGBoost DOWN mas tendência neutra
2026-02-10,Tuesday,UP,80.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,UP,80.0%,UP,0.06%,✅,1.30779,1.30856,XGBoost UP mas tendência neutra
2026-02-11,Wednesday,DOWN,55.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,DOWN,55.0%,DOWN,-1.50%,✅,1.30856,1.28896,XGBoost DOWN mas tendência neutra
2026-02-12,Thursday,DOWN,90.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,DOWN,90.0%,UP,0.77%,❌,1.28896,1.29893,XGBoost DOWN mas tendência neutra
2026-02-13,Friday,UP,80.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,UP,80.0%,DOWN,-0.36%,❌,1.29893,1.29429,XGBoost UP mas tendência neutra
2026-02-14,Saturday,DOWN,90.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,DOWN,90.0%,UP,0.22%,❌,1.29429,1.29709,XGBoost DOWN mas tendência neutra
2026-02-15,Sunday,DOWN,90.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,DOWN,90.0%,DOWN,-0.05%,✅,1.29709,1.29646,XGBoost DOWN mas tendência neutra
2026-02-16,Monday,DOWN,80.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,DOWN,80.0%,DOWN,-0.03%,✅,1.29646,1.29611,XGBoost DOWN mas tendência neutra
2026-02-17,Tuesday,UP,80.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,UP,80.0%,UP,0.24%,✅,1.29611,1.29921,XGBoost UP mas tendência neutra
2026-02-18,Wednesday,UP,80.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,UP,80.0%,UP,0.07%,✅,1.29921,1.30010,XGBoost UP mas tendência neutra
2026-02-19,Thursday,UP,90.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,UP,90.0%,UP,0.41%,✅,1.30010,1.30539,XGBoost UP mas tendência neutra
2026-02-20,Friday,UP,55.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,UP,55.0%,UP,0.44%,✅,1.30539,1.31119,XGBoost UP mas tendência neutra
2026-02-21,Saturday,DOWN,55.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,DOWN,55.0%,DOWN,-0.74%,✅,1.31119,1.30155,XGBoost DOWN mas tendência neutra
2026-02-22,Sunday,DOWN,90.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,DOWN,90.0%,UP,1.00%,❌,1.30155,1.31456,XGBoost DOWN mas tendência neutra
2026-02-23,Monday,UP,90.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,UP,90.0%,UP,0.45%,✅,1.31456,1.32048,XGBoost UP mas tendência neutra
2026-02-24,Tuesday,UP,55.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,UP,55.0%,UP,0.08%,✅,1.32048,1.32148,XGBoost UP mas tendência neutra
2026-02-25,Wednesday,UP,80.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,UP,80.0%,UP,0.45%,✅,1.32148,1.32740,XGBoost UP mas tendência neutra
2026-02-26,Thursday,UP,90.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,UP,90.0%,DOWN,-0.44%,❌,1.32740,1.32150,XGBoost UP mas tendência neutra
2026-02-27,Friday,DOWN,90.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,DOWN,90.0%,UP,0.22%,❌,1.32150,1.32436,XGBoost DOWN mas tendência neutra
2026-02-28,Saturday,DOWN,90.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,DOWN,90.0%,UP,0.43%,❌,1.32436,1.33000,XGBoost DOWN mas tendência neutra
2026-03-01,Sunday,DOWN,90.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,DOWN,90.0%,NO_DATA,N/A,WAIT,1.33000,N/A,XGBoost DOWN mas tendência neutra
